url_or_asin,title,price,image,brand,type,occasion,recipient
https://www.amazon.com/dp/B0F34Z9D9M,"Nurse Nessa Comprehensive, Handwritten Nursing Notes - 600+ Pages - Designed to help you ACE the NCLEX",$99.99,https://m.media-amazon.com/images/I/71gkakQ60oL._AC_SL1500_.jpg,Nurse Nessa,,,
https://www.amazon.com/dp/B0D545M37L,"Nursing Success Bundle: 400+ Page Handwritten Notes, Designed to Ace Nursing School, Concise & Comprehensive",,https://m.media-amazon.com/images/I/812Qf6e9ywL._SL1500_.jpg,"by               
		   MyNurseNotes.com     
       			(Author) 
       	             Format: Spiral-bound",,,
https://www.amazon.com/dp/B0H3WVFV15,The Complete Nursing School Bundle,,https://m.media-amazon.com/images/I/61gNmsCZIeL._SL1250_.jpg,"by               
		   Nurse In The Making     
       			(Author) 
       	             Format: Spiral-bound",,,
https://www.amazon.com/dp/1975177517,Medical-Surgical Nursing Made Incredibly Easy (Incredibly Easy! Series®),,https://m.media-amazon.com/images/I/71+0rGoRpGL._SL1500_.jpg,"by             
		   Lippincott Williams & Wilkins     
       			(Author),  
       	 
	          
		   Dr. Keelin Cromar DNP  RN     
       			(Editor),  
       	 
	            
		   Casey Moebius RN  DNP     
       			(Editor) 
       	 
	     
             & 
                 0
                 more             Format: Paperback",,,
https://www.amazon.com/dp/B0DZD6HCWF,Grateful for Nurses: A Nurse Appreciation Coloring Book to Express Gratitude with Inspiring Words over Abstract Floral Patterns,,https://m.media-amazon.com/images/I/81vLt8xdg7L._SL1293_.jpg,"by               
		   Christa M. Day     
       			(Author) 
       	             Format: Paperback",,,
https://www.amazon.com/dp/B0FCYVS7J5,Sarcasm in Scrubs: A Nursing School Survival Edition Coloring Book with Relatable Humor and Sarcasm on Healthcare Patterns,,https://m.media-amazon.com/images/I/71UvInvwVaL._SL1293_.jpg,"by               
		   Christa M. Day     
       			(Author) 
       	             Format: Paperback",,,
https://www.amazon.com/dp/B0C4PPYJ1J,"Plifal RN Registered Nurse Badge Reel Holder Retractable with Badge Buddy for Nurse Nursing, Blue Caduceus Stethoscope Alligator Clip Name Tag ID Clip Card Set Glitter Hospital Work Accessories",$12.99,https://m.media-amazon.com/images/I/91gZFfG00nL._AC_SL1500_.jpg,Plifal,,,
https://www.amazon.com/dp/B0DYXZX74W,"Cute RN Badge Reel Retractable for Registered Nurse & Medical Worker | Registered Nurse Graduation Gifts, Funny RN ID Name Badge Holder with Alligator Clip & 24” Durable Nylon Cord | Acrylic",$7.59,https://m.media-amazon.com/images/I/712111wG5RL._AC_SL1500_.jpg,Bydevia,,,
https://www.amazon.com/dp/B077C8ZFD1,Pnk Registered Nurse - RN Caduceus Lifeline Heart Decal Vinyl Sticker Graphics|UR Impressions|for Cars Trucks SUV Vans Walls Windows|Pink|7.5 X 4.1 inch|URI481,$8.49,https://m.media-amazon.com/images/I/51cT6Aujb9L._AC_SL1500_.jpg,UR Impressions,,,
https://www.amazon.com/dp/B07BVQC44T,Registered Nurse Emblem Lapel Pin - Letters on Caduceus Brooch - RN Medical Ceremonie Clip,$10.99,https://m.media-amazon.com/images/I/61QYJnfQsrL._AC_SL1500_.jpg,PinMaze,,,
https://www.amazon.com/dp/B07D9ZFV2P,Bachelor of Science in Nursing Emblem Lapel Pin - Letters on Caduceus Brooch - BSN Medical Ceremonie Clip (BSN),$12.99,https://m.media-amazon.com/images/I/71trMiMmCQL._AC_SL1500_.jpg,PinMaze,,,
https://www.amazon.com/dp/B0GHGCKDMB,"Chillever Personalized Embroidered Nurse Sweatshirt for Women, Custom Name & Specialties (ER, RN, NP, L&D), Nurse Gift",$17.95,https://m.media-amazon.com/images/I/8180R8CHQXL._AC_SL1500_.jpg,Chillever,,,
https://www.amazon.com/dp/B0FNRKDT7C,HPQQ Gifts for Nurse Sterling Silver Stethoscope Cross Necklace Nurses Birthstone Jewelry Nursing Themed Medicine Nurses Week Graduation Gifts Doctor Medical Student RN,$58.99,https://m.media-amazon.com/images/I/51wcuhpA5RL._AC_SL1500_.jpg,HPQQ,,,
https://www.amazon.com/dp/B0FF9YWJ33,Sterling Silver Stethoscope Heart Cross Nurse Necklace for Women | Nurses Week Gifts Christmas Graduation Appreciation Gifts for Nurse Doctor Medical Student RN,$24.99,https://m.media-amazon.com/images/I/51P2xayU6iL._AC_SL1500_.jpg,Gemtailor,,,
https://www.amazon.com/dp/B0D53S1LDV,"Cute Nurse Graduation Card Gifts for Her, Lovely Nurse Graduation Gift for Friend, Congratulations on Graduation For Nurse, New Nurse Card for Women, RN Card Gift For Daughter Sister",$5.99,https://m.media-amazon.com/images/I/611N1Bat8tL._AC_SL1200_.jpg,RUALOVE,,,
